크레딧명,인명,배역,기타,인명DB연계정보,KMDb 영화정보관리번호
감독,오동하,,,221474,K29715
촬영팀,이창석,B카메라,,157053,K27232
연출부,이규한,,,,K29710
연출부,조해슬,,,,K29710
촬영팀,강주희,B촬영팀,,221313,K27232
촬영팀,황낙원,B촬영팀,,215087,K27232
촬영팀,정태완,B촬영팀,,196161,K27232
촬영팀,이명주,데이터 매니저,,,K27232
촬영팀,Slow Motion Grip,그립장비,,,K27232
촬영팀,김동령,키그립,,132380,K27232
촬영팀,염성현,그립,,221523,K27232
촬영팀,신진우,지미집,,8998,K27232
촬영팀,박주율,지미집,,212139,K27232
촬영팀,김대림,스테디캠,,81373,K27232
촬영팀,김병국,스테디캠,,50826,K27232
촬영팀,디지털팩토리,카메라,,,K27232
촬영팀,우금호,렉카,현대컬렉션,78510,K27232
의상/분장팀,황은지,의상팀,,,K27232
의상/분장팀,김향란,,,221479,K21697
의상/분장팀,곽아영,,,,K21697
의상/분장팀,형유리,,,217460,K21697
의상,남지수,,,162404,K21697
출연,최아영,주인공,,,K29909
출연,남벼리,학생,,,K29909
출연,강보은,학생,,,K29909
출연,박수민,학생,,,K29909
출연,오은혜,선생님,,,K29909
출연,조형국,,,,A11181
출연,전양준,,,,A11181
출연,박희용,,,,A11181
촬영,임일진,,,,A11181
출연,차호은,,,,A11185
출연,조형국,,,,A11185
출연,조경아,,,,A11185
기타스탭,이재향,경호팀,BTS WORLD TOUR 'LOVE YOURSELF',,A09059
기타스탭,김한규,경호팀,BTS WORLD TOUR 'LOVE YOURSELF',,A09059
기타스탭,한석오,경호팀,BTS WORLD TOUR 'LOVE YOURSELF',,A09059
기타스탭,김대성,경호팀,BTS WORLD TOUR 'LOVE YOURSELF',,A09059
기타스탭,오상호,국내배급,월트디즈니코리아 배급팀,180464,A09059
기타스탭,황현선,국내배급,월트디즈니코리아 배급팀,221592,A09059
기타스탭,양해수,국내배급,월트디즈니코리아 배급팀,,A09059
사운드(음향),강병우,,,,A11179
촬영,임일진,,,,A11185
편집,권아영,,,,A11185
편집,이태헌,,,,A11185
연출부,이효동,,,,K22373
연출부,임세진,,,,K22373
연출부,김가영,연출지원,,,K22373
감독,김분화,,,,A11188
감독,김태흔,,,,A11188
감독,유지혜,,,,K29909
촬영,유지혜,,,,K29909
감독,김전자,,,,A11188
감독,진희정,,,,A11188
프로듀서,이규한,,,,K29910
편집,임일진,,,219699,A11181
편집,박준우,,,,A11181
편집,이태헌,,,,A11181
사운드(음향),김상빈,,,,K29910
감독,한민경,,,,K29910
음악,백자,,,,A11181
감독,안서연,,,,K29911
스크립터,유성은,,,,K29910
촬영,최효진,,,,K29911
프로듀서,이서연,,,,K29911
출연,최원석,,,,K29911
출연,김나경,,,,K29911
출연,최철범,,,,K29911
출연,박은서,,,,K29911
출연,오세규,,,,K29911
출연,손상원,,,,A11183
촬영,임일진,,,219699,A11183
색보정,최희영,,XtoZ,45313,K22373
음악,MUSIQ13,,,,K22373
사운드(음향),이주석,,goyo soundworks,50478,K22373
촬영,임일진,,,219699,A11182
출연,고미선,,,,A11183
조감독,이상백,,,174921,K24424
출연,송창의,강성구 대위,,39121,K24932
출연,송영규,백영철 중령,,41806,K24932
출연,이현균,김택진 군의관,,207187,K24932
프로듀서,임일진,,,,A11185
출연,장해송,조성훈 중위,,,K24932
출연,도은비,임소연 중위,,,K24932
출연,김철윤,배영국 중사,,201316,K24932
출연,김지웅,유상태 병장,,,K24932
출연,김영재,장성호 상병,,,K24932
출연,김광배,한민석 병장,,,K24932
출연,박상원,박경수 상병,,195530,K24932
출연,장원석,송태훈 상병,,,K24932
출연,정찬우,김준수 일병,,204148,K24932
출연,윤우,최도철 일병,,,K24932
출연,강민성,민영식 이병,,,K24932
출연,김정욱,박일수 병장,,220403,K24932
촬영,임일진,,,,A11186
출연,손원익,고태석 상병,,221053,K24932
출연,조유신,김유신 상사,,165148,K24932
제작부,넝쿨,협력 프로듀서,,147801,A10098
제작부,허윤수,협력 프로듀서,,221590,A10098
마케팅/홍보팀,김지운,오프라인 마케팅,국외자들,166660,A10098
마케팅/홍보팀,박선희,온라인 마케팅,루미네 주식회사,167972,A10098
마케팅/홍보팀,노현서,온라인 마케팅,루미네 주식회사,220619,A10098
편집팀,조소나,편집 컨설턴트,,212133,A10098
편집팀,김일란,편집 컨설턴트,,50437,A10098
편집팀,스텔라,편집 컨설턴트,Stella Van Voorst Van Beest,,A10098
마케팅/홍보팀,홍지율,온라인 마케팅,루미네 주식회사,220620,A10098
마케팅/홍보팀,윤소정,온라인 마케팅,루미네 주식회사,220621,A10098
마케팅/홍보팀,박보란,온라인 마케팅,루미네 주식회사,220622,A10098
마케팅/홍보팀,김정은,온라인 마케팅,루미네 주식회사,220623,A10098
마케팅/홍보팀,안대호,광고디자인,스테디,169513,A10098
마케팅/홍보팀,박은별,광고디자인,스테디,216040,A10098
마케팅/홍보팀,서기웅,광고디자인,스테디,201131,A10098
마케팅/홍보팀,이창주,광고디자인,스테디,192912,A10098
마케팅/홍보팀,전민경,광고디자인,스테디,211782,A10098
마케팅/홍보팀,스푸트닉,타이틀 디자인,,,A10098
예고편,권태영,,604필름,179412,A10098
기획,심은채,,,,K30010
기획,나찬우,,,,K30010
촬영,심은채,,,,K30010
사운드팀,박상혁,붐맨,Hz S&M,,K22013
사운드팀,김영호,Supervising Sound Editor,PLUTO SOUND GROUP,40682,K22013
사운드팀,박민지,Re-Recording Mixer/Dialogue Editor,PLUTO SOUND GROUP,199505,K22013
사운드팀,안다빈,Sound Effect Editor,PLUTO SOUND GROUP,203274,K22013
사운드팀,문재홍,Foley Artist,Mong&Works,25767,K22013
사운드팀,김태용,Foley Recordist,Mong&Works,218901,K22013
사운드팀,황서연,Foley Recordist,Mong&Works,216412,K22013
사운드팀,박소연,Audio Post Accountant,PLUTO SOUND GROUP,219569,K22013
사운드팀,이윤경,Audio Post Administrator,PLUTO SOUND GROUP,186427,K22013
출연,레나,요코(여비서),,,K27359
출연,배재성,조민철,,221544,K27359
출연,김도형,강신조,,206865,K27359
출연,진수현,문채영,,19970,K27359
출연,전창걸,경비원 외,,34742,K27359
출연,김형준,표비서,,221708,K27359
출연,장하나,고기자,,,K27359
출연,최성준,노란머리,,221709,K27359
출연,유진,챔피언 아이돌(스타즈이데아),,,K27359
출연,최민,챔피언 아이돌(스타즈이데아),,,K27359
출연,안서현,챔피언 아이돌(스타즈이데아),,,K27359
출연,전호진,챔피언 아이돌(스타즈이데아),,,K27359
출연,태준,챔피언 아이돌(스타즈이데아),,,K27359
출연,화린,화린 외,,,K27359
출연,문정미,뚜쟁이,,,K27359
출연,강대윤,보디가드,,,K27359
출연,권은진,K-Land MC,,,K27359
출연,채은,켈리친구,,,K27359
출연,수빈,켈리친구,,,K27359
출연,산호,켈리친구,,,K27359
출연,조혜란,예린친구,,,K27359
출연,최영은,예린친구,,204057,K27359
출연,나윤호,예린친구,,,K27359
출연,김기석,도박남,,46530,K27359
출연,김주경,형사,,,K27359
출연,한봄,여순경,,,K27359
출연,김세별,여순경,,223332,K27359
출연,민주,스완즈,,,K27359
출연,채현,스완즈,,,K27359
출연,화린,스완즈,,,K27359
출연,박진원,도영아버지,,206415,K27359
출연,강현구,양복남,,211274,K27359
출연,오성우,영화감독,특별출연,,K27359
색보정,김형희,,,162745,A10098
출연,김나윤,학교 친구들,,,K15417
감독,강동연,,,51077,A11228
감독,김선중,,,,A11230
출연,박은지,,,,A05754
편집,경순,구성/편집,,36004,A09405
각본,김성연,,,,A11240
각본,이승헌,,,,A11240
각본,장호경,,,83661,A11240
출연,이세희,,,,K30030
출연,박세진,,,,K30030
출연,홍세화,본인,,,A09405
출연,허재현,본인,,,A09405
출연,원희복,본인,,,A09405
출연,권종술,본인,,,A09405
출연,문영심,본인,,,A09405
출연,박래군,본인,,,A09405
출연,이태호,본인,,,A09405
출연,박진,본인,,,A09405
출연,김덕진,본인,,221734,A09405
출연,윤희숙,본인,,,A09405
출연,김칠준,본인,,,A09405
출연,심재환,본인,,,A09405
출연,조지훈,본인,,,A09405
출연,천낙봉,본인,,,A09405
출연,김근래,본인,,,A09405
출연,홍순석,본인,,,A09405
출연,한동근,본인,,,A09405
출연,조양원,본인,,,A09405
출연,김미희,본인,,,A09405
출연,이상규,본인,,,A09405
출연,김재연,본인,,,A09405
출연,오병윤,본인,,,A09405
출연,윤소영,본인,,,A09405
출연,임이화,본인,,,A09405
출연,박사옥,본인,,,A09405
출연,한영,본인,,,A09405
출연,안소희,본인,,,A09405
출연,엄경희,본인,,,A09405
출연,정지영,본인,,,A09405
출연,함세웅,,,,A09405
감독,미디어핀다,,,,A11146
기타스탭,장혜진,음향 지원,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,김남언,음향 지원,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,지병환,영상감독/오퍼레이터,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,한기창,영상 지원,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,선혜지,영상 지원,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,김동건,영상 지원,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,전선택,무대미술팀장,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,이명교,미술행정,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,강승구,장치감독,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,송낙원,장치 제작/운영,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,박일천,장치 제작/운영,국립극장 제작진(2021) 무대예술부,222494,A10651
기타스탭,홍재민,장치 제작/운영,국립극장 제작진(2021) 무대예술부,222495,A10651
기타스탭,강규한,장치 제작/운영,국립극장 제작진(2021) 무대예술부,222496,A10651
기타스탭,김항원,장치 제작/운영,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,최성훈,장치 제작/운영,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,정성원,장치 제작/운영,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,김선우,장치 제작/운영,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,김정규,장치 제작/운영,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,조재현,장치 제작/운영,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,신슬기,장치 제작/운영,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,정준우,장치 제작/운영,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,김유리,작화,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,박순용,작화,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,정복모,소품,국립극장 제작진(2021) 무대예술부,222351,A10651
기타스탭,채수형,소품,국립극장 제작진(2021) 무대예술부,222352,A10651
기타스탭,박현이,소품,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,윤지현,소품,국립극장 제작진(2021) 무대예술부,222353,A10651
기타스탭,신종현,장신구,국립극장 제작진(2021) 무대예술부,222354,A10651
기타스탭,김은경,장신구,국립극장 제작진(2021) 무대예술부,222355,A10651
기타스탭,조근하,의상,국립극장 제작진(2021) 무대예술부,222036,A10651
기타스탭,김효영,의상,국립극장 제작진(2021) 무대예술부,222037,A10651
기타스탭,이주선,의상,국립극장 제작진(2021) 무대예술부,,A10651
기타스탭,김철호,국립극장장,2021 가장 가까운 국립극장,,A10651
기타스탭,선재규,공연기획부장,기획/제작,,A10651
기타스탭,이동현,공연기획팀장,기획/제작,,A10651
기타스탭,권태연,책임프로듀서,기획/제작,,A10651
기타스탭,최성민,프로듀서,기획/제작,,A10651
기타스탭,박시현,프로듀서,기획/제작,,A10651
기타스탭,전혜담,프로듀서,기획/제작,,A10651
기타스탭,강성구,교육전시부장,유통/배급,,A10651
기타스탭,강은아,홍보팀장,유통/배급,222356,A10651
기타스탭,구슬,책임프로듀서,유통/배급,222497,A10651
기타스탭,정선영,프로듀서,유통/배급,,A10651
기타스탭,김정희,프로듀서,유통/배급,222498,A10651
기타스탭,김수기,감독,영상제작,,A10651
기타스탭,강원석,조감독,영상제작,,A10651
기타스탭,이신섭,프로듀서,영상제작,,A10651
기타스탭,전미영,편집,영상제작,,A10651
기타스탭,최홍석,데이터매니저,영상제작,,A10651
기타스탭,이혜인,CG,영상제작,,A10651
기타스탭,이상현,기술감독,영상제작,,A10651
기타스탭,강형기,기술스태프,영상제작,,A10651
기타스탭,김광복,촬영감독,영상제작,224297,A10651
기타스탭,김윤정,촬영,영상제작,,A10651
기타스탭,이주환,촬영,영상제작,,A10651
기타스탭,신의욱,촬영,영상제작,221534,A10651
기타스탭,홍상호,촬영,영상제작,,A10651
기타스탭,차순호,1st 어시스턴트,영상제작,,A10651
동시녹음,박재형,현장녹음,,212598,K25389
감독,부성필,,,,A11241
사운드팀,Adr,사운드,,,K18972
사운드팀,Ego,사운드,,,K18972
사운드팀,Phone,사운드,,,K18972
출연,심하은,,,221326,K30040
촬영,김형준,,,,K30021
출연,권민경,,,221328,K30040
출연,송아경,,,,K30040
출연,오수지,"급식친구, 아이돌 보는 친구",,,K31280
출연,류지원,"급식 방관당하는, 휠체어 욕하는",,,K31280
출연,전채연,"급식친구, 휠체어 욕하는, 오타쿠 방관 당하는",,,K31280
출연,서유진,휠체어 방관 당하는,,,K31280
각본,원유,,,218064,K30021
편집,원유,,,218064,K30021
동시녹음,김현수,,,,K30021
사운드팀,Sound Lab,사운드,,,K18972
사운드팀,김두림,동시녹음1,,,K18972
제작자,하민,,,,K18972
출연,송민혁,,,,K30040
각본,정지수,,,,K30025
출연,강나빈,"급식친구, 오타쿠 방관당하는",,,K31280
프로듀서,강윤성,,,,K28150
각본,박다진,,,,K28150
감독,최지훈,,,,K30153
출연,김승훈,소년,,,K30153
기획,박정민,,,,A11289
연출부,홍전기,,,,K21240
연출부,김미현,,,,K21240
연출부,최규림,,,,K21240
연출부,양봄이,,,,K21240
출연,이성연,소녀,,,K30153
출연,하유민,어린 소년,,,K30153
출연,손경수,버스커,,,K30153
촬영,강병민,,,,K30152
조명,김보배,,,,K30152
출연,권재준,편의점 알바생,,,K30153
예고편,김하은,,화요일,216909,K21240
예고편,조용주,,화요일,221816,K21240
각본,이경민,,,221501,A11288
기획,장애인지역공동체,,,,A11288
포스터,최보라,,화요일,182429,K21240
포스터,염다정,,화요일,221818,K21240
스크립터,최유진,,,,K30155
사운드(음향),김해빈,,,,K30155
조명,김지우,,,,K30155
스틸,강석현,,,,K21240
제작자,고학찬,제작총괄,,221805,A08983
의상/분장팀,지효원,의상진행,,,A08983
의상/분장팀,유형석,의상진행,,,A08983
의상/분장팀,오혜련,분장진행,,,A08983
의상/분장팀,박진영,분장진행,,221813,A08983
의상/분장팀,최혜지,분장진행,,,A08983
의상/분장팀,황수풀,의상제작,씨앤디,,A08983
의상/분장팀,김용이,신발제작,미투리,,A08983
출연,김경은,카페 종업원,,,K21240
출연,오제근,오형사,,206914,K21240
출연,박태건,박형사,,185832,K21240
출연,김미현,정신과 환자1,,,K21240
출연,송다영,정신과 환자2,,,K21240
출연,최규림,응급차 건달1,,,K21240
출연,가심현,응급차 건달2,,182584,K21240
기획,뉴스타파,,,,A09650
기획,남태제,기획개발,나누크,45647,A09650
감독,김유경,,,,K30022
감독,김유림,,,,K30022
감독,도은유,,,,K30022
편집,장호경,,,83661,A11240
감독,강혜빈,,,,K30030
감독,장호경,,,83661,A11242
감독,박유빈,,,,K30040
스크립터,이호연,,,,K18972
각본,박유빈,,,,K30040
프로듀서,임도연,,,,K30040
편집,박유빈,,,,K30040
감독,고레에다 히로카즈,,是枝裕和,76906,K28829
각본,고레에다 히로카즈,,是枝裕和,76906,K28829
촬영,성근환,,,217967,K29112
기타스탭,차수현,디지털배급책임,CJ ENM,214878,K22585
기타스탭,문형식,디지털배급진행,CJ ENM,214879,K22585
기타스탭,원석희,디지털배급진행,CJ ENM,216505,K22585
기타스탭,옥진주,디지털배급진행,CJ ENM,213377,K22585
기타스탭,유상현,디지털배급진행,CJ ENM,221244,K22585
기타스탭,박성윤,디지털배급진행,CJ ENM,197333,K22585
기타스탭,이지윤,디지털배급진행,CJ ENM,206064,K22585
기타스탭,이수빈,디지털배급진행,CJ ENM,210890,K22585
기타스탭,김유경,디지털배급진행,CJ ENM,216506,K22585
기타스탭,최수연,디지털배급진행,CJ ENM,214880,K22585
기타스탭,김현중,디지털배급진행,CJ ENM,216507,K22585
기타스탭,고경범,해외사업총괄,CJ ENM,207635,K22585
기타스탭,박정민,해외배급책임,CJ ENM,204146,K22585
기타스탭,김남영,해외배급진행,CJ ENM,175187,K22585
기타스탭,서재현,해외배급진행,CJ ENM,175167,K22585
기타스탭,김은지,해외배급진행,CJ ENM,171097,K22585
기타스탭,이주희,해외배급진행,CJ ENM,211723,K22585
기타스탭,장예진,해외배급진행,CJ ENM,216247,K22585
기타스탭,박정숙,해외배급진행,CJ ENM,200786,K22585
기타스탭,박은,중국기획제작책임,CJ ENM,194625,K22585
기타스탭,이홍대,중국기획제작책임,CJ ENM,171001,K22585
기타스탭,김치형,중국기획제작진행,CJ ENM,172968,K22585
기타스탭,황본,중국기획제작진행,CJ ENM,170900,K22585
기타스탭,정선경,중국기획제작진행,CJ ENM,211727,K22585
기타스탭,강종량,중국기획제작진행,CJ ENM,222092,K22585
기타스탭,진하연,중국기획제작진행,CJ ENM,222093,K22585
기타스탭,최연우,해외기획제작책임,CJ ENM,175165,K22585
기타스탭,김현우,해외기획제작책임,CJ ENM,181972,K22585
기타스탭,오혜림,해외기획제작책임,CJ ENM,169382,K22585
기타스탭,정재욱,해외기획제작책임,CJ ENM,19270,K22585
기타스탭,권익현,해외기획제작진행,CJ ENM,175166,K22585
기타스탭,신지혜,해외기획제작진행,CJ ENM,175175,K22585
기타스탭,박보미,해외기획제작진행,CJ ENM,211728,K22585
기타스탭,정인희,해외기획제작진행,CJ ENM,211730,K22585
기타스탭,윤민기,해외기획제작진행,CJ ENM,169393,K22585
기타스탭,박나영,해외기획제작진행,CJ ENM,221246,K22585
기타스탭,우건희,해외기획제작진행,CJ ENM,221248,K22585
기타스탭,이다희,해외기획제작진행,CJ ENM,204794,K22585
기타스탭,정태선,해외제작 [베트남],CJ ENM,169395,K22585
기타스탭,최윤정,사업관리총괄,CJ ENM,184110,K22585
기타스탭,유화영,사업관리,CJ ENM,39911,K22585
기타스탭,김영석,사업관리,CJ ENM,211734,K22585
기타스탭,박연정,사업관리,CJ ENM,194638,K22585
기타스탭,이재훈,사업관리,CJ ENM,221249,K22585
기타스탭,김연하,사업관리,CJ ENM,211735,K22585
기타스탭,이지영,콘텐츠운영,CJ ENM,191430,K22585
기타스탭,감유리,콘텐츠운영,CJ ENM,175164,K22585
기타스탭,오현주,콘텐츠운영,CJ ENM,211737,K22585
기타스탭,이선미,콘텐츠운영,CJ ENM,211738,K22585
기타스탭,이현주,콘텐츠운영,CJ ENM,211739,K22585
기타스탭,정희선,콘텐츠운영,CJ ENM,211740,K22585
기타스탭,이영주,투자기획,CJ ENM,201238,K22585
기타스탭,나시화,투자기획,CJ ENM,211714,K22585
기타스탭,이재인,투자기획,CJ ENM,45880,K22585
기타스탭,김혜진,리서치기획,CJ ENM,212680,K22585
기타스탭,류형진,사업전략총괄,CJ ENM,221250,K22585
기타스탭,강나연,사업전략,CJ ENM,221251,K22585
기타스탭,황수선,사업전략,CJ ENM,211733,K22585
기타스탭,이재하,사업전략,CJ ENM,194620,K22585
기타스탭,박나리,사업전략,CJ ENM,221253,K22585
기타스탭,오승현,인사관리,CJ ENM,,K22585
기타스탭,최영주,인사관리,CJ ENM,,K22585
기타스탭,서정규,인사관리,CJ ENM,,K22585
기타스탭,이계민,인사관리,CJ ENM,,K22585
색보정,오희원,,,,K29441
음악팀,이승호,피아노,GIL Music,,A08773
음악팀,정동윤,피아노,GIL Music,210308,A08773
프로듀서,이연우,,,,K29557
촬영,박준홍,,,19480,K29557
촬영팀,김태수,스테디캠,,46411,K20471
촬영팀,최편누리,촬영부,,204482,K20471
촬영팀,하혜정,촬영부,,,K20471
촬영팀,조은별,촬영부,,82714,K20471
촬영팀,이정민,촬영부,,,K20471
색보정,이큰솔,,,78758,K20471
감독,정희재,,,50722,K20471
출연,한혜지,한국손해보험,목소리출연,209677,K25591
출연,장미,유한손해보험사,목소리출연,,K25591
출연,김하영,왈라,목소리출연,,K25591
출연,박수현,왈라,목소리출연,,K25591
출연,김한비,왈라,목소리출연,,K25591
출연,손민혁,왈라,목소리출연,,K25591
출연,민희영,왈라,목소리출연,,K25591
출연,윤범식,왈라,목소리출연,,K25591
출연,이종찬,왈라,목소리출연,,K25591
출연,전하린,왈라,목소리출연,221342,K25591
출연,하태양,혜적 목소리 대역,목소리출연,,K25591
출연,이동용,중국집 손님,특별출연,18007,K25591
출연,한철우,국회의원,특별출연,17248,K25591
감독,박재우,,,,K29558
제작자,박재우,,,,K29558
음악,자울,,,,K29580
프로듀서,정찬영,,,,K29751
프로듀서,박수정,,,,K29751
각본,성스러운,,,221506,K29753
마케팅/홍보팀,김화선,메인홍보물 원화제작,한국화가,,A10651
연출부,고예은,,,,K29766
조감독,강동균,,,,K29758
조감독,김채린,,,,K29758
기타스탭,오광훈,투자책임,,,K27232
프로듀서,이지영,,,,K29751
감독,원재인,,,,K29738
감독,현지연,,,,K29738
마케팅/홍보팀,스튜디오 홍단,메인홍보물 디자인,,,A10651
연출부,김도연,,,,K29766
연출부,류균환,,,,K29766
연출부,원소웅,,,,K29766
연출부,이기쁨,,,,K29766
의상/분장팀,박남주,의상기장,,,K27232
의상/분장팀,정효주,분장팀장,,,K27232
의상/분장팀,배성원,분장팀,,,K27232
촬영,변서현,,,,K29781
기타스탭,신재형,투자책임,,,K27232
기타스탭,유재권,투자책임,,,K27232
기타스탭,이태림,투자기획,,,K27232
기타스탭,이향원,투자기획,,,K27232
기타스탭,서인걸,투자기획,,,K27232
기타스탭,임철현,경영지원책임,,,K27232
기타스탭,조미란,경영지원,,,K27232
기타스탭,소윤하,경영지원,,,K27232
기타스탭,유인종,보험,DB손해보험,,K27232
기타스탭,불만제로,소품차량,,,K27232
기타스탭,김민지,로케이션 지원,서울영상위원회,,K27232
기타스탭,김병구,로케이션 지원,인천영상위원회,222881,K27232
기타스탭,김동혁,로케이션 지원,경기콘텐츠진흥원 경기영상위원회,211256,K27232
기타스탭,이태령,로케이션 지원,경기콘텐츠진흥원 경기영상위원회,222281,K27232
기타스탭,강욱,보조출연,에이트리 엔터테인먼트,172383,K27232
기타스탭,곽용,보조출연,에이트리 엔터테인먼트,221532,K27232
기타스탭,권수현,보조출연,에이트리 엔터테인먼트,221533,K27232
소품팀,최민성,특수소품,모델링맥스,,K24932
소품팀,전춘병,특수소품,토이스타,,K24932
소품팀,문종현,특수소품,토이스타,,K24932
기타스탭,동화개발,제작지원,,,K24932
기타스탭,㈜한들내디앤씨,제작지원,,,K24932
기타스탭,김명섭,제작지원,좋은친구들,,K24932
특수효과팀,신윤균,특수효과실장,DnD LINe,167200,K24932
기타스탭,손양호,타이틀캘리그라피,,,K24932
기타스탭,이용우,현장지원,,221622,K24932
기타스탭,김재민,총괄책임,콘텐츠판다,156944,K24932
기타스탭,윤수비,콘텐츠유통책임/배급마케팅 책임,콘텐츠판다,178605,K24932
기타스탭,정현목,콘텐츠유통진행/배급마케팅 진행,콘텐츠판다,213684,K24932
기타스탭,차효은,콘텐츠유통진행/배급마케팅 진행,콘텐츠판다,213685,K24932
기타스탭,강전욱,콘텐츠유통진행/배급마케팅 진행,콘텐츠판다,213769,K24932
기타스탭,정지은,콘텐츠유통진행/배급마케팅 진행,콘텐츠판다,221293,K24932
기타스탭,이정하,해외세일즈책임,콘텐츠판다,164417,K24932
기타스탭,정지선,해외세일즈진행,콘텐츠판다,213571,K24932
기타스탭,이윤기,해외세일즈진행,콘텐츠판다,213572,K24932
기타스탭,김재인,해외세일즈진행,콘텐츠판다,219135,K24932
기타스탭,남동근,촬영장비,로보캠,204355,K24932
기타스탭,송욱,조명장비,,220438,K24932
기타스탭,오병언,특수차량,금호클래식카,,K24932
기타스탭,김상호,로케이션,강원영상위원회,222759,K24932
기타스탭,채진희,로케이션,강원영상위원회,,K24932
스크립터,이수현,,,221635,K24424
출연,형나리,사진기자8,,,K24932
출연,김윤배,홍중위,,206864,K24932
출연,김민성,오소령,,10352,K24932
출연,이용우,이대위,,221622,K24932
출연,이상우,2소대장,,,K24932
출연,김주현,황병장,,219076,K24932
출연,이준,상황병,,175381,K24932
출연,박재관,당번병,,221621,K24932
출연,서진혁,일직병,,,K24932
출연,박민현,사단취사병/사진기자5,,221620,K24932
출연,강영일,발표준장,,33450,K24932
출연,이성교,보좌관1,,205641,K24932
출연,최홍규,보좌관2,,221619,K24932
출연,김현우,보좌관3,,199192,K24932
출연,이관욱,보좌관4,,221618,K24932
출연,신준호,헌병1,,9099,K24932
출연,허준호,헌병2,,574,K24932
출연,석현,헌병3,,174576,K24932
출연,이현우,헌병4,,148343,K24932
출연,김도연,헌병5,,211058,K24932
출연,나영민,헌병6,,,K24932
출연,박유진,기자1,,205023,K24932
출연,이지영,기자2,,207497,K24932
출연,최원준,기자3,,212818,K24932
출연,최동옥,기자4,,,K24932
출연,장규미,기자5,,202199,K24932
출연,이재영,기자6,,42851,K24932
출연,하은유,기자7,,221617,K24932
출연,최민우,기자8,,204291,K24932
출연,송민석,기자9,,36018,K24932
출연,김나영,기자10,,204683,K24932
출연,이정현,기자11,,,K24932
출연,윤지희,기자12,,221616,K24932
출연,김솜이,기자13,,,K24932
출연,곽다윗,기자14,,,K24932
출연,김태경,기자15,,211536,K24932
출연,장민수,기자16,,219465,K24932
출연,김근아,기자17,,,K24932
출연,황유경,기자18,,,K24932
출연,장윤재,사진기자1,,,K24932
출연,박순수,사진기자2,,,K24932
출연,류한선,사진기자3,,,K24932
출연,안채연,사진기자4,,220414,K24932
출연,한은하,사진기자6,,,K24932
출연,이민규,사진기자7,,,K24932
기타스탭,황선애,인터뷰,겨울빛,,A10098
기타스탭,이경아,인터뷰,국화향기,,A10098
기타스탭,전숙경,인터뷰,라라,,A10098
기타스탭,권명보,인터뷰,메이,,A10098
기타스탭,오은지,인터뷰,위니,,A10098
기타스탭,김진이,인터뷰,지인,,A10098
기타스탭,장선영,인터뷰,지월,,A10098
기타스탭,홍정선,인터뷰,하늘,,A10098
기타스탭,김경진,인터뷰,,,A10098
기타스탭,김덕자,인터뷰,도치,,A10098
기타스탭,홍경옥,인터뷰,물,,A10098
기타스탭,변홍철,인터뷰,,,A10098
기타스탭,전수진,인터뷰,인정,,A10098
기타스탭,이한길,인터뷰,불량남편,,A10098
기타스탭,이헌기,인터뷰,비움,,A10098
기타스탭,윤명순,인터뷰,애니,,A10098
기타스탭,조정일,인터뷰,맹물,,A10098
기타스탭,이지나,인터뷰,지나,,A10098
기타스탭,최영미,인터뷰,토마토,,A10098
기타스탭,성소수자부모모임,제작협력,,,A10098
기타스탭,조소나,영문번역,,212133,A10098
기타스탭,마크 브라질,영문번역,,,A10098
기타스탭,김율,영문번역,,,A10098
기타스탭,푸르모디티,영어자막 제작,lyuno-SDI Group,,A10098
기타스탭,김산,크레딧 시퀀스 디자인,Sparging Lab.,,A10098
기타스탭,장영민,기술 지원,,,A10098
기타스탭,정상진,배급/마케팅,㈜엣나인필름,167928,A10098
기타스탭,주희,배급/마케팅,㈜엣나인필름,17870,A10098
기타스탭,박혜진,배급/마케팅,㈜엣나인필름,174666,A10098
기타스탭,강진권,배급/마케팅,㈜엣나인필름,173481,A10098
기타스탭,김서연,배급/마케팅,㈜엣나인필름,213306,A10098
기타스탭,양예주,배급/마케팅,㈜엣나인필름,214820,A10098
기타스탭,김은지,배급/마케팅,㈜엣나인필름,171097,A10098
